CNPJ,Valor_corrigido,Anomalia,k
07575651000159,3030.28,0,2
07575651000159,1630.82,0,2
07575651000159,10250.41,0,2
07575651000159,4225.69,0,2
07575651000159,2734.08,0,2
07575651000159,438.9,0,2
07575651000159,3716.99,0,2
07575651000159,1006.9,0,2
07575651000159,232.05,0,2
07575651000159,4867.77,1,2
07725657000165,62.69,0,4
07725657000165,364.82,1,4
07725657000165,86.97,0,4
07725657000165,302.72,0,4
07725657000165,72.14,0,4
07725657000165,28.23,0,4
07725657000165,62.13,0,4
07725657000165,15.08,0,4
07725657000165,31.09,0,4
07725657000165,53.34,0,4
07725657000165,49.42,0,4
07725657000165,187.66,0,4
07725657000165,551.07,0,4
07725657000165,20.08,0,4
07725657000165,56.41,0,4
07725657000165,510.46,0,4
07725657000165,16.59,0,4
07725657000165,186.18,0,4
07725657000165,59.05,0,4
07725657000165,55.75,0,4
07725657000165,340.9,0,4
07725657000165,40.55,0,4
07725657000165,11.5,0,4
07725657000165,513.71,0,4
07725657000165,326.26,0,4
07725657000165,550.64,0,4
07725657000165,40.2,0,4
07725657000165,272.25,1,4
08077914000162,40.73,0,5
08077914000162,42.06,0,5
08077914000162,79.39,0,5
08077914000162,84.71,0,5
08077914000162,62.9,0,5
08077914000162,42.64,0,5
08077914000162,265.6,0,5
08077914000162,180.8,0,5
08077914000162,159.69,0,5
08077914000162,258.5,0,5
08077914000162,388.39,0,5
08077914000162,265.15,0,5
08077914000162,231.87,1,5
08077914000162,49.4,0,5
08077914000162,32.99,0,5
08077914000162,85.24,0,5
08077914000162,31.84,0,5
08077914000162,102.6,0,5
08077914000162,245.69,0,5
08077914000162,166.54,0,5
08077914000162,187.24,0,5
08077914000162,111.62,1,5
08077914000162,97.52,0,5
08077914000162,48.58,0,5
08077914000162,46.75,0,5
08077914000162,45.21,0,5
08077914000162,36.75,0,5
08077914000162,80.66,0,5
08077914000162,94.97,0,5
08236800000207,91.16,0,10
08236800000207,57.24,0,10
08236800000207,33.54,0,10
08236800000207,166.81,0,10
08236800000207,42.92,0,10
08236800000207,147.37,0,10
08236800000207,79.17,1,10
08236800000207,43.28,0,10
08236800000207,128.25,0,10
08236800000207,36.03,0,10
08236800000207,58.06,0,10
08236800000207,70.18,1,10
08236800000207,89.31,0,10
08236800000207,91.49,0,10
08236800000207,113.92,0,10
08236800000207,33.76,0,10
08236800000207,33.35,0,10
08236800000207,59.78,0,10
08236800000207,72.79,0,10
08236800000207,59.44,0,10
08236800000207,101.53,0,10
08236800000207,40.03,0,10
08236800000207,115.15,0,10
08402977000147,57.07,0,5
08402977000147,216.29,0,5
08402977000147,104.35,0,5
08402977000147,143.01,0,5
08402977000147,45.42,0,5
08402977000147,44.9,0,5
08402977000147,103.22,0,5
08402977000147,44.44,0,5
08402977000147,16.96,1,5
08402977000147,20.77,1,5
08402977000147,37.72,0,5
08402977000147,100.98,0,5
08402977000147,52.9,0,5
08402977000147,27.17,0,5
08402977000147,49.34,0,5
08402977000147,126.17,0,5
08402977000147,59.03,0,5
08402977000147,49.12,0,5
08402977000147,102.06,0,5
08402977000147,94.08,0,5
08402977000147,97.99,0,5
08402977000147,52.75,0,5
08402977000147,58.61,0,5
08402977000147,144.95,0,5
08402977000147,90.32,0,5
08402977000147,66.41,0,5
08402977000147,269.26,0,5
09060964010677,130.63,0,10
09060964010677,134.06,0,10
09060964010677,143.47,0,10
09060964010677,118.69,0,10
09060964010677,202.31,0,10
09060964010677,155.11,0,10
09060964010677,276.4,0,10
09060964010677,448.74,0,10
09060964010677,246.45,0,10
09060964010677,314.59,0,10
09060964010677,44.63,0,10
09060964010677,49.39,0,10
09060964010677,93.4,0,10
09060964010677,119.63,0,10
09060964010677,389.17,0,10
09060964010677,46.28,0,10
09060964010677,273.25,0,10
09060964010677,282.14,0,10
09060964010677,169.41,1,10
09060964010677,79.68,0,10
09060964010677,158.93,0,10
09060964010677,158.96,0,10
09060964010677,120.07,0,10
09060964010677,159.66,0,10
09060964010677,116.43,0,10
09060964010677,39.3,0,10
09060964010677,119.11,0,10
09060964010677,140.45,1,10
09060964010677,54.42,0,10
09060964010677,83.44,0,10
09060964010677,33.02,0,10
09060964010677,51.88,0,10
09060964010839,12.83,0,2
09060964010839,59.31,0,2
09060964010839,20.62,0,2
09060964010839,60.74,0,2
09060964010839,43.51,0,2
09060964010839,26.26,0,2
09060964010839,136.23,0,2
09060964010839,106.91,0,2
09060964010839,25.42,0,2
09060964010839,73.42,0,2
09060964010839,52.47,0,2
09060964010839,80.89,0,2
09060964010839,34.64,0,2
09060964010839,25.95,0,2
09060964010839,23.27,0,2
09060964010839,53.42,0,2
09060964010839,107.55,1,2
09060964010839,88.3,0,2
09060964010839,54.27,0,2
09060964010839,161.05,0,2
09060964010839,92.97,0,2
09060964010839,65.51,0,2
09060964010839,20.17,0,2
09060964010839,124.82,0,2
09060964010839,59.21,0,2
09060964010839,34.28,0,2
09060964010839,33.72,0,2
09060964010839,55.47,0,2
09060964010839,45.94,0,2
09060964010839,135.9,0,2
09060964010839,75.58,0,2
09060964010839,36.38,0,2
09060964010839,140.03,0,2
09060964010839,247.85,1,2
09060964010839,38.13,0,2
09060964010839,44.38,0,2
09060964010839,55.79,0,2
09060964010839,44.69,0,2
09060964010839,38.13,0,2
09060964010839,46.35,0,2
09060964010839,190.93,0,2
09060964010839,39.46,0,2
09060964010839,49.17,0,2
09060964010839,32.83,0,2
09060964010839,86.29,0,2
09060964010839,271.97,1,2
09060964010839,56.54,0,2
09060964010839,177.5,0,2
09060964010910,30.54,1,10
09060964010910,55.84,0,10
09060964010910,75.34,0,10
09060964010910,54.11,0,10
09060964010910,129.97,0,10
09060964010910,85.78,0,10
09060964010910,275.74,0,10
09060964010910,49.09,0,10
09060964010910,37.63,0,10
09060964010910,106.38,0,10
09060964010910,53.42,0,10
09060964010910,33.57,0,10
09060964010910,16.3,0,10
09060964010910,15.2,0,10
09060964010910,50.58,0,10
09060964010910,36.31,0,10
09060964010910,120.8,0,10
09060964010910,108.33,0,10
09060964010910,135.44,0,10
09060964010910,51.11,0,10
09060964010910,96.64,0,10
09250970000110,50.37,0,6
09250970000110,62.51,1,6
09250970000110,94.45,0,6
09250970000110,46.15,0,6
09250970000110,39.97,0,6
09250970000110,263.21,0,6
09250970000110,49.92,0,6
09250970000110,97.6,0,6
09250970000110,198.17,0,6
09250970000110,156.43,0,6
09250970000110,87.54,0,6
09250970000110,47.96,0,6
09250970000110,56.49,0,6
09250970000110,40.96,0,6
09250970000110,98.61,0,6
09250970000110,105.56,0,6
09250970000110,57.09,0,6
09250970000110,60.12,0,6
09250970000110,38.21,1,6
09250970000110,141.9,0,6
09250970000110,195.43,0,6
09250970000110,47.58,0,6
09250970000110,60.41,0,6
09250970000110,127.99,0,6
09250970000110,46.49,0,6
09250970000110,172.65,0,6
09250970000110,60.21,0,6
09250970000110,51.66,0,6
09250970000110,82.76,0,6
09250970000110,41.23,0,6
09250970000110,130.47,0,6
09250970000110,46.16,0,6
09250970000110,51.66,0,6
09250970000110,50.51,0,6
