Data,CNPJ,Valor,Valor_corrigido
2013-03-01,04531580000102,36.4,64.17
2013-03-01,05727800000122,26.1,46.01
2013-03-01,07782298000188,12.85,22.65
2013-03-01,,74.0,130.45
2013-03-01,01113694000136,184.8,325.78
2013-03-01,02012862000160,514.52,907.04
2013-03-01,06245953000104,22.92,40.41
2013-03-01,08756568000149,384.01,676.97
2013-03-01,11454290000160,283.25,499.34
2013-03-01,15274776000177,51.52,90.82
2013-03-01,50214386000102,5.2,9.17
2013-03-01,01891719000122,165.0,290.88
2013-03-01,04341874000163,76.95,135.65
2013-03-01,07499995000207,39.65,69.9
2013-03-01,09456704000148,19.0,33.5
2013-03-01,09456714000183,41.1,72.45
2013-03-01,09536662000155,68.79,121.27
2013-03-01,10361891000165,113.9,200.79
2013-03-01,11384785000160,61.5,108.42
2013-03-01,46115507000191,24.15,42.57
2013-03-01,50334929000125,16.5,29.09
2013-03-01,02012862000160,841.04,1482.67
2013-03-01,,24.0,42.31
2013-03-01,02530487000220,37.5,66.11
2013-03-01,04903382000114,132.6,233.76
2013-03-01,07283422000160,45.85,80.83
2013-03-01,07443489000115,44.0,77.57
2013-03-01,07499995000207,49.94,88.04
2013-03-01,08699998000176,140.0,246.81
2013-03-01,11371541000142,46.9,82.68
2013-03-01,13261470000150,83.6,147.38
2013-03-01,13335349000126,120.45,212.34
2013-03-01,15069120000112,336.4,593.04
2013-03-01,43386903000165,442.5,780.08
2013-03-01,55727689000223,125.6,221.42
2013-03-01,58699232000321,56.9,100.31
2013-03-01,59513655000106,92.51,163.09
2013-03-01,61559282000156,90.0,158.66
2013-03-01,62423074000198,34.6,61.0
2013-03-01,72908353001924,175.53,309.44
2013-03-01,06233293000133,64.4,113.53
2013-03-01,10618475000108,49.3,86.91
2013-03-01,73152340000292,94.5,166.59
2013-03-01,01521352000155,133.87,236.0
2013-03-01,01620294000117,212.1,373.91
2013-03-01,05324131000148,49.0,86.38
2013-03-01,05619015000156,105.64,186.23
2013-03-01,14409608000189,170.6,300.75
2013-03-01,43386903000165,51.83,91.37
2013-03-01,61614647000116,44.99,79.31
2013-03-01,01499544000102,32.5,57.29
2013-03-01,04341874000163,88.2,155.49
2013-03-01,08718098000129,68.0,119.88
2013-03-01,09296295000160,240.93,424.73
2013-03-01,54867247000139,79.8,140.68
2013-03-01,60907029000183,95.0,167.48
2013-03-01,,282.4,497.84
