"Data","CNPJ","Valor_corrigido"
"2018-04-01","72724826000104",20.88
"2018-04-01","",176.41
"2018-04-01","05025949000160",13.05
"2018-04-01","09536662000155",39.22
"2018-04-01","11384785000160",180.65
"2018-04-01","02710362000100",57.93
"2018-04-01","06747237000117",182.67
"2018-04-01","07220177000142",874.38
"2018-04-01","07753758000140",195.72
"2018-04-01","09060964010596",69.81
"2018-04-01","09640387000115",50.9
"2018-04-01","11384785000160",213.04
"2018-04-01","11586873000144",287.05
"2018-04-01","44762623000177",110.91
"2018-04-01","54867247000139",28.84
"2018-04-01","57578734000170",59.5
"2018-04-01","72548936000162",234.86
"2018-04-01","02012862000160",2112.64
"2018-04-01","16699646000149",332.72
"2018-04-01","20089117000281",19.57
"2018-04-01","22084678000132",125.26
"2018-04-01","51789634000106",19.57
"2018-04-01","",198.33
"2018-04-01","15440561000189",176.14
"2018-04-01","01047793000167",74.37
"2018-04-01","04341874000163",12.79
"2018-04-01","11208384000159",21.27
"2018-04-01","11581965000131",332.72
"2018-04-01","26727751000106",50.83
"2018-04-01","45007937000127",377.28
"2018-04-01","61541405000555",35.16
"2018-04-01","",173.54
"2018-04-01","03300974004923",192.56
"2018-04-01","13232868000169",199.63
"2018-04-01","18468081000114",371.21
"2018-04-01","01963729000126",108.3
"2018-04-01","04666854000162",35.88
"2018-04-01","05251279000108",159.18
"2018-04-01","05356461000115",353.93
"2018-04-01","09456714000183",27.24
"2018-04-01","12278361000183",254.43
"2018-04-01","26196631000111",438.4
"2018-04-01","43386903000165",92.44
"2018-04-01","60765468000107",168.79
"2018-04-01","73152423000109",67.72
"2018-04-01","08301098000129",430.58
"2018-04-01","08644456000104",170.56
"2018-04-01","47058052000182",116.91
"2018-04-01","57081432000191",40.71
"2018-04-01","45007937000127",155.99
"2018-04-01","45011509001735",168.32
"2018-04-01","",164.4
"2018-04-01","04577735000133",92.31
"2018-04-01","58892845000119",456.67
"2018-04-01","",26.1
"2018-04-01","02530487000220",50.23
"2018-04-01","03300974004923",26.1
"2018-04-01","03830063000163",476.45
"2018-04-01","20195666000150",157.88
"2018-04-01","69322063000160",31.91
"2018-04-01","",216.01
"2018-04-01","65883480000121",60.54
"2018-04-01","01593471000113",197.63
"2018-04-01","12796800000140",50.48
"2018-04-01","61980272001242",98.59
"2018-04-01","66728858000185",210.07
"2018-04-01","02203830000303",56.11
"2018-04-01","53924205000120",68.89
"2018-04-01","62518899000196",139.48
"2018-04-01","66728858000185",215.29
"2018-04-01","67244111000114",202.24
"2018-04-01","22341872000156",28.05
"2018-04-01","22745286000177",41.1
"2018-04-01","46256996000100",383.6
"2018-04-01","02203830000141",143.24
"2018-04-01","02266042000102",62.56
